These are seven correlation matrices derived from the PCI, capturing SA, AA, VC, ARO ,AE, AB. These six variables are used to estimate the model for hypnosis by Rainville and Price (2003).
1.000	-.711	.671	.281	-.611	-.381
-.711	1.000	-.750	-.290	.700	.470
.671	-.750	1.000	.340	-.670	-.480
.281	-.290	.340	1.000	-.250	-.380
-.611	.700	-.670	-.250	1.000	.370
-.381	.470	-.480	-.380	.370	1.000

1.000	-.647	.702	.280	-.606	-.270
-.647	1.000	-.689	-.309	.704	.342
.702	-.689	1.000	.375	-.604	-.309
.280	-.309	.375	1.000	-.202	-.519
-.606	.704	-.604	-.202	1.000	.191
-.270	.342	-.309	-.519	.191	1.000

1.000	-.439	.466	.186	-.435	-.288
-.439	1.000	-.400	-.298	.787	.605
.466	-.400	1.000	.125	-.330	-.246
.186	-.298	.125	1.000	-.234	-.450
-.435	.787	-.330	-.234	1.000	.598
-.288	.605	-.246	-.450	.598	1.000

1.000	-.568	.600	.143	-.515	-.261
-.568	1.000	-.474	-.066	.687	.286
.600	-.474	1.000	.137	-.391	-.246
.143	-.066	.137	1.000	-.020	-.391
-.515	.687	-.391	-.020	1.000	.235
-.261	.286	-.246	-.391	.235	1.000

1.000	-.635	.621	.208	-.585	-.323
-.635	1.000	-.534	-.216	.677	.360
.621	-.534	1.000	.186	-.444	-.323
.208	-.216	.186	1.000	-.191	-.451
-.585	.677	-.444	-.191	1.000	.326
-.323	.360	-.323	-.451	.326	1.000

1.000	-.617	.649	.154	-.643	-.240
-.617	1.000	-.645	-.205	.730	.401
.649	-.645	1.000	.165	-.591	-.311
.154	-.205	.165	1.000	-.121	-.347
-.643	.730	-.591	-.121	1.000	.333
-.240	.401	-.311	-.347	.333	1.000

1.00	-0.55	0.67	0.07	-0.41	-0.26
-0.55	1.00	-0.61	-0.14	0.52	0.45
0.67	-0.61	1.00	0.08	-0.46	-0.32
0.07	-0.14	0.08	1.00	-0.07	-0.15
-0.41	0.52	-0.46	-0.07	1.00	0.309
-0.26	0.45	-0.32	-0.15	0.309	1.00
